"","Destination","Origin","originLat","originLong","destLat","destLong","midpointX","midpointY","MeanRating","MeanPercent","MaxRating","MaxPercent","MinRating","TotalN"
"75","Costa Rica","Guatemala",15.783471,-90.230759,9.748917,-83.753428,-87.8470369079704,17.990900684245,3.5,72,3.5,72,3.5,1
"76","Czech Republic","Madagascar",-18.766947,46.869107,49.817492,15.472962,41.8384624769306,-10.5968530733706,2.75,63,2.75,63,2.75,1
"77","Denmark","Honduras",15.199999,-86.241905,56.26392,9.501785,-79.6995373664284,24.5545912676624,3.25,70,3.25,70,3.25,1
"78","Denmark","Nicaragua",12.865416,-85.207229,56.26392,9.501785,-78.7768963136175,22.2794655216451,3.375,70.4166666666667,3.75,85,3,12
"79","Denmark","Peru",-9.189967,-75.015152,56.26392,9.501785,-69.8906274604368,0.741164219122101,2.75,66,3,71,2.5,2
"80","Ecuador","Colombia",4.570868,-74.297333,-1.831239,-78.183406,-74.8445788519655,5.98221074867944,4,70,4,70,4,1
"81","Ecuador","Peru",-9.189967,-75.015152,-1.831239,-78.183406,-76.6067103428634,-6.0263572347209,4,70,4,70,4,1
"82","Finland","Madagascar",-18.766947,46.869107,61.92411,25.748151,42.8209396537504,-10.4234186098965,3.25,70.5,3.5,71,3,2
"83","France","Bolivia",-16.290154,-63.588653,46.227638,2.213749,-59.5733060980475,-6.98935562274073,3.5,70,3.5,70,3.5,1
"84","France","Brazil",-14.235004,-51.92528,46.227638,2.213749,-48.7070581623263,-5.36152749243074,3.46875,74.375,4,75,3,8
"85","France","Colombia",4.570868,-74.297333,46.227638,2.213749,-68.740066238067,13.3786871536884,3.125,72.5,3.5,75,2.75,2
"86","France","Cuba",21.521757,-77.781167,46.227638,2.213749,-71.561358787323,29.7048420512926,3.15,73,3.5,75,2.75,5
"87","France","Dominican Republic",18.735693,-70.162651,46.227638,2.213749,-64.3716061889834,26.7918411753015,3.34375,68,4,75,2,8
"88","France","Ecuador",-1.831239,-78.183406,46.227638,2.213749,-72.6398353217711,7.34810419209919,3.16666666666667,72.1111111111111,4,80,2.5,9
"89","France","Gabon",-0.803689,11.609444,46.227638,2.213749,8.8773742747277,5.65317816352768,3.25,75,3.25,75,3.25,1
"90","France","Ghana",7.946527,-1.023194,46.227638,2.213749,-2.11364190431522,13.7107068720253,3.33333333333333,70.3333333333333,3.5,75,3.25,3
"91","France","Grenada",12.262776,-61.604171,46.227638,2.213749,-56.4984977487814,20.3339726260997,3.5,68,3.5,68,3.5,1
"92","France","Haiti",18.971187,-72.285215,46.227638,2.213749,-66.3824777362478,27.0875848574297,3.75,70,4,75,3.5,2
"93","France","Indonesia",-0.789275,113.921327,46.227638,2.213749,104.588139032781,8.66152971385649,3.5,75,3.5,75,3.5,1
"94","France","Jamaica",18.109581,-77.297508,46.227638,2.213749,-71.1756398760809,26.4308432351701,3.625,75,4,75,3.25,2
"95","France","Madagascar",-18.766947,46.869107,46.227638,2.213749,40.6942832366913,-10.3729094435662,3.39583333333333,74.5833333333333,4,100,2.75,12
"96","France","Mexico",23.634501,-102.552784,46.227638,2.213749,-95.2984378081701,32.5271217822926,3.125,71.5,3.75,75,2.5,6
"97","France","Myanmar [Burma]",21.913965,95.956223,46.227638,2.213749,87.8929303271619,29.9317140551915,3,70,3,70,3,1
"98","France","Panama",8.537981,-80.782127,46.227638,2.213749,-74.7522491563238,17.3798684681672,2.75,70,2.75,70,2.75,1
"99","France","Papua New Guinea",-6.314993,143.95555,46.227638,2.213749,133.601499479047,4.08873897175669,3.3125,68.25,4,75,3,4
"100","France","Peru",-9.189967,-75.015152,46.227638,2.213749,-69.9403615521616,0.178046957593418,3.42857142857143,71,4,75,2.5,14
"101","France","Sao Tome",-0.006949,6.522309,46.227638,2.213749,4.43038973166494,6.19691036056662,3.41666666666667,70,4,75,2.75,6
"102","France","Sao Tome & Principe",-0.006949,6.522309,46.227638,2.213749,4.43038973166494,6.19691036056662,3.5,75,3.5,75,3.5,1
"103","France","Sri Lanka",7.873054,80.771797,46.227638,2.213749,72.8119398702461,16.0515050208984,3,75,3,75,3,1
"104","France","Tanzania",-6.369028,34.888822,46.227638,2.213749,29.6419713690451,1.14117087437825,2.75,75,3.5,75,2,2
"105","France","Togo",8.619543,0.824782,46.227638,2.213749,-0.445243062630872,14.2241165450961,3.08333333333333,70,3.5,70,2.75,3
"106","France","Trinidad",10.536421,-61.311951,46.227638,2.213749,-56.2917869343659,18.6769799077625,2.91666666666667,68,3.5,75,2.5,3
"107","France","Vanuatu",-15.376706,166.959158,46.227638,2.213749,155.784640531873,-4.14761842030861,3,75,3,75,3,1
"108","France","Venezuela",6.42375,-66.58973,46.227638,2.213749,-61.4094651837489,14.9153055103805,3.41304347826087,70.8260869565217,4,75,2,23
"109","France","Vietnam",14.058324,108.277199,46.227638,2.213749,99.5378518175876,22.7798208893669,3.17857142857143,74.1428571428571,3.75,80,2.75,7
"110","Germany","Belize",17.189877,-88.49765,51.165691,10.451526,-81.6468506508789,26.3624311976232,3.20833333333333,78.8333333333333,3.75,83,2.75,6
"111","Germany","Bolivia",-16.290154,-63.588653,51.165691,10.451526,-59.2105908393308,-6.57770801602853,3.5,70,3.5,70,3.5,1
"112","Germany","Dominican Republic",18.735693,-70.162651,51.165691,10.451526,-64.098966027273,27.2818187390791,3.5,75,3.5,80,3.5,2
"113","Germany","Ecuador",-1.831239,-78.183406,51.165691,10.451526,-72.3632327405356,7.7697749622731,2.4375,78.5,3.25,100,1.5,4
"114","Germany","Ghana",7.946527,-1.023194,51.165691,10.451526,-1.32262665235691,14.4433070128007,3.75,77.5,4,85,3.5,2
"115","Germany","Grenada",12.262776,-61.604171,51.165691,10.451526,-56.1991160887608,20.8177636662589,3.25,72,3.25,72,3.25,1
"116","Germany","Jamaica",18.109581,-77.297508,51.165691,10.451526,-70.9142809407894,26.9053549295724,3.25,72,3.25,72,3.25,1
"117","Germany","Madagascar",-18.766947,46.869107,51.165691,10.451526,41.4006893100706,-10.3990291459687,3.3125,70.5,3.5,75,3,4
"118","Germany","Mexico",23.634501,-102.552784,51.165691,10.451526,-95.0527785954872,32.9732380106504,3,72,3,72,3,1
"119","Germany","Peru",-9.189967,-75.015152,51.165691,10.451526,-69.639794440874,0.588740595128769,2.875,65.5,3.25,72,2.5,4
"120","Germany","Sao Tome & Principe",-0.006949,6.522309,51.165691,10.451526,5.22461170195557,6.48374379980888,3.75,72,3.75,72,3.75,1
"121","Germany","Trinidad",10.536421,-61.311951,51.165691,10.451526,-55.9878427753073,19.1555853760252,3,72,3,72,3,1
"122","Germany","Vanuatu",-15.376706,166.959158,51.165691,10.451526,155.898702388088,-4.18536980607433,3.75,65,3.75,65,3.75,1
"123","Germany","Venezuela",6.42375,-66.58973,51.165691,10.451526,-61.1144578599295,15.3729492347116,3.25,70.3333333333333,3.75,72,3,6
"124","Guatemala","Madagascar",-18.766947,46.869107,15.783471,-90.230759,37.1506092591147,-9.09359020084933,3.75,70,3.75,70,3.75,1
"125","Guatemala","Venezuela",6.42375,-66.58973,15.783471,-90.230759,-70.8521511104104,10.7575712985971,3,75,3,75,3,1
"126","Honduras","El Salvador",13.794185,-88.89653,15.199999,-86.241905,-87.8538901981938,16.0103607414106,2.875,75,3,80,2.75,2
"127","Honduras","Nicaragua",12.865416,-85.207229,15.199999,-86.241905,-86.1184771030151,14.9744592159018,3.375,75,3.5,80,3.25,2
"128","Hungary","Brazil",-14.235004,-51.92528,47.162494,19.503304,-47.4702828802364,-4.81243488110787,3.5,70,3.5,70,3.5,1
"129","Hungary","Cuba",21.521757,-77.781167,47.162494,19.503304,-70.8491044993085,30.3056593342017,3.5,79,3.75,88,3.25,2
"130","Hungary","Dominican Republic",18.735693,-70.162651,47.162494,19.503304,-63.5919003827523,27.3967373641473,3.25,70,3.25,70,3.25,1
"131","Hungary","Ecuador",-1.831239,-78.183406,47.162494,19.503304,-71.7751411965535,7.87538416875321,3.5,70,3.75,70,3.25,2
"132","Hungary","Madagascar",-18.766947,46.869107,47.162494,19.503304,42.2022562105369,-10.8258991851181,3.2,70.4,3.5,72,2.5,5
"133","Hungary","Nicaragua",12.865416,-85.207229,47.162494,19.503304,-78.1272170360012,22.2204641216133,3.25,70,3.25,70,3.25,1
"134","Hungary","Peru",-9.189967,-75.015152,47.162494,19.503304,-68.9994388121473,0.694239218132896,3.75,70,3.75,70,3.75,1
"135","Hungary","Venezuela",6.42375,-66.58973,47.162494,19.503304,-60.497656785116,15.4825387377991,2.96428571428571,73.4285714285714,3.5,84,2.25,7
"136","Hungary","Vietnam",14.058324,108.277199,47.162494,19.503304,100.077108933742,22.3088958575298,3.25,70,3.25,70,3.25,1
"137","Iceland","Madagascar",-18.766947,46.869107,64.963051,-19.020835,39.3129749609251,-9.11660857169141,3.5,66,3.5,66,3.5,1
"138","Iceland","Papua New Guinea",-6.314993,143.95555,64.963051,-19.020835,132.631571203056,5.16203065535024,3,70,3,70,3,1
"139","Iceland","Tanzania",-6.369028,34.888822,64.963051,-19.020835,28.0674301542065,2.52367132719401,3.75,70,3.75,70,3.75,1
"140","Ireland","Peru",-9.189967,-75.015152,53.41291,-8.24389,-70.9342511331809,0.142172236907292,2.8125,78.5,3.25,89,2.5,4
"141","Israel","Dominican Republic",18.735693,-70.162651,31.046051,34.851612,-62.8451944557184,27.2060654781538,3.25,72.5,3.75,75,2.75,2
"142","Israel","Ecuador",-1.831239,-78.183406,31.046051,34.851612,-70.7565242484764,7.71150042745313,3.5,70,3.5,70,3.5,1
"143","Israel","Madagascar",-18.766947,46.869107,31.046051,34.851612,43.8098556288354,-12.0688203496579,3.5,70,3.5,70,3.5,1
"144","Israel","Peru",-9.189967,-75.015152,31.046051,34.851612,-67.8477734023708,0.535714083845683,3.125,70,3.5,70,2.75,2
"145","Israel","Trinidad",10.536421,-61.311951,31.046051,34.851612,-54.3594823017819,19.0673657260221,3.5,70,3.5,70,3.5,1
"146","Israel","Venezuela",6.42375,-66.58973,31.046051,34.851612,-59.4826318737249,15.2956412694552,3.5,70,3.5,70,3.5,1
"147","Italy","Belize",17.189877,-88.49765,41.87194,12.56738,-81.4056593236418,26.0524825745686,3,67,3,67,3,1
"148","Italy","Brazil",-14.235004,-51.92528,41.87194,12.56738,-47.721880467383,-5.21322551836978,3.25,60,3.25,60,3.25,1
"149","Italy","Colombia",4.570868,-74.297333,41.87194,12.56738,-68.066971173168,13.5142814821868,3,69,3,70,3,2
"150","Italy","Cuba",21.521757,-77.781167,41.87194,12.56738,-71.054164419445,29.8542406653628,2.875,72.5,3.25,75,2.5,2
"151","Italy","Dominican Republic",18.735693,-70.162651,41.87194,12.56738,-63.7923018551647,26.938837990002,3.25,70.6666666666667,3.75,72,3,3
"152","Italy","Ecuador",-1.831239,-78.183406,41.87194,12.56738,-71.9514475171841,7.48041750332778,3.17857142857143,73.4285714285714,4,100,2,7
"153","Italy","Ghana",7.946527,-1.023194,41.87194,12.56738,-0.679962717831363,14.0690718178059,3,64,3,64,3,1
"154","Italy","Grenada",12.262776,-61.604171,41.87194,12.56738,-55.7813337810458,20.4760632582515,3.5,70,3.5,70,3.5,1
"155","Italy","Indonesia",-0.789275,113.921327,41.87194,12.56738,105.031127394665,8.21698976522298,3.75,70,3.75,70,3.75,1
"156","Italy","Jamaica",18.109581,-77.297508,41.87194,12.56738,-70.6362116564728,26.5762885153017,3,70,3,70,3,1
"157","Italy","Madagascar",-18.766947,46.869107,41.87194,12.56738,41.5293762543897,-10.8471200268069,3.625,68.5,4,70,3.5,4
"158","Italy","Peru",-9.189967,-75.015152,41.87194,12.56738,-69.1841530435624,0.309918812776683,3.5,70,3.75,70,3.25,2
"159","Italy","Sao Tome",-0.006949,6.522309,41.87194,12.56738,5.64830585005911,6.12527054757851,2.75,71.5,3.25,78,2.25,2
"160","Italy","Tanzania",-6.369028,34.888822,41.87194,12.56738,30.643914076209,0.609601023732498,2.75,72.5,3.5,75,2,2
"161","Italy","Trinidad",10.536421,-61.311951,41.87194,12.56738,-55.5543668838772,18.8181121847741,3,70,3.5,70,2.5,2
"162","Italy","Venezuela",6.42375,-66.58973,41.87194,12.56738,-60.6857123956578,15.0533679242857,3.46052631578947,72.0526315789474,5,100,2.75,19
"163","Japan","Belize",17.189877,-88.49765,36.204824,138.252924,-77.7519960703294,29.232259769645,3,70,3,70,3,1
"164","Japan","Colombia",4.570868,-74.297333,36.204824,138.252924,-63.8964083641931,16.6339419317099,3,70,3,70,3,1
"165","Japan","Haiti",18.971187,-72.285215,36.204824,138.252924,-61.931784803976,30.5769601243831,3.5,70,3.5,70,3.5,1
"166","Japan","Madagascar",-18.766947,46.869107,36.204824,138.252924,52.7674628619422,-9.01784535646878,3.25,70,3.5,70,3,2
"167","Japan","Papua New Guinea",-6.314993,143.95555,36.204824,138.252924,141.72239372998,-0.250637359658112,3.25,62,3.25,62,3.25,1
"168","Japan","Peru",-9.189967,-75.015152,36.204824,138.252924,-64.6608064220185,3.26716900115482,2.95833333333333,71.3333333333333,3.5,78,2.25,6
"169","Japan","Trinidad",10.536421,-61.311951,36.204824,138.252924,-51.2261954013849,22.1217400287593,2.75,77,2.75,77,2.75,1
"170","Japan","Venezuela",6.42375,-66.58973,36.204824,138.252924,-56.3773993140491,18.2541016107204,3,78,3,79,3,2
"171","Japan","Vietnam",14.058324,108.277199,36.204824,138.252924,111.398024754395,20.2393621967106,3.375,65,3.5,70,3.25,2
"172","Lithuania","Grenada",12.262776,-61.604171,55.169438,23.881275,-55.6104862260579,21.3896087522693,2.5,71,2.5,71,2.5,1
"173","Lithuania","Nicaragua",12.865416,-85.207229,55.169438,23.881275,-78.1170084774291,22.6448951846162,3.25,70,3.25,70,3.25,1
